地区,分類,施設名,組織,利用定員（２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
灘区,保育所,やはた桜保育所,公立,144,×,×,×,×,×,○,7,10,4,5,0,1,,27
灘区,保育所,やはた桜保育所 鶴甲分室,公立,30,,×,×,×,×,○,,3,0,2,0,0,,5
灘区,保育所,誠佛保育園,私立,60,,×,×,×,×,○,,0,1,0,0,0,,1
灘区,保育所,同朋保育園,私立,70,×,×,○,×,×,×,0,2,2,0,0,0,,4
灘区,保育所,花音つばさ保育園,私立,80,×,×,×,×,×,○,2,3,0,1,0,0,,6
灘区,保育所,琵琶COCORO保育園,私立,60,×,×,×,×,×,○,2,3,1,5,0,0,,11
灘区,保育所,ろっこうARIMA保育園,私立,60,×,×,×,×,×,○,1,6,2,4,0,0,,13
灘区,家庭的保育事業,赤ちゃんホーム なだのみ,私立,5,○,,,,,,0,,,,,,,0
灘区,家庭的保育事業,赤ちゃんホーム つぼみ,私立,4,○,,,,,,1,,,,,,,1
灘区,小規模保育事業,たんぽぽ,私立,12,,×,×,,,,,0,0,,,,,0
灘区,小規模保育事業,はらだ乳児園,私立,12,,×,×,,,,,0,0,,,,,0
灘区,小規模保育事業,コアラ愛児園,私立,19,,×,×,,,,,0,0,,,,,0
灘区,小規模保育事業,めばえすくすくルーム,私立,12,,×,×,,,,,0,0,,,,,0
灘区,小規模保育事業,小規模保育園 六甲道,私立,19,×,×,○,,,,1,0,0,,,,,1
灘区,小規模保育事業,保育ルーム ちいさなCOCORO,私立,14,×,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,京進のほいくえんHOPPA灘園,私立,19,○,×,○,,,,0,0,0,,,,,0
灘区,小規模保育事業,キッズパートナー王子公園,私立,19,×,○,○,,,,0,0,0,,,,,0
灘区,小規模保育事業,ポピンズ小規模保育園HAT神戸,私立,19,○,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,神戸六甲キッズバルーン,私立,14,○,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,くじら保育園神戸六甲園,私立,19,×,×,×,,,,0,1,0,,,,,1
灘区,小規模保育事業,保育ルーム 琵琶ちいさなＣＯＣＯＲＯ,私立,14,×,×,×,,,,0,2,0,,,,,2
灘区,小規模保育事業,さくら園六甲道保育園,私立,19,×,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,なのは乳児園,私立,12,,○,○,,,,,0,0,,,,,0
灘区,小規模保育事業,小規模保育園 クーラ,私立,18,○,×,○,,,,0,0,0,,,,,0
長田区,幼保連携型認定こども園,幼保連携型認定こども園 神戸保育園,私立,80*,×,×,×,×,○,○,3,3,1,1,0,0,,8
長田区,幼保連携型認定こども園,幼保連携型認定こども園 たから保育園,私立,110*,○,○,○,○,○,○,0,0,0,0,0,0,,0
