地区,分類,施設名,組織,利用定員（２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
兵庫区,小規模保育事業,モーツァルト兵庫駅ナカ小規模保育園,私立,19,×,×,×,,,,1,0,0,,,,,1
兵庫区,小規模保育事業,小規模保育園　めいせい,私立,12,×,×,○,,,,0,0,1,,,,,1
兵庫区,小規模保育事業,小規模保育　おはな保育園,私立,19,,○,○,,,,,0,0,,,,,0
兵庫区,小規模保育事業,宝地院保育園ふたば,私立,19,×,×,×,,,,0,1,0,,,,,1
北区,幼保連携型認定こども園,認定こども園　このみ保育園,私立,70*,×,×,×,×,○,○,0,4,1,3,0,0,,8
北区,幼保連携型認定こども園,幼保連携型認定こども園　星和台幼稚園,私立,90*,,○,○,○,○,○,,0,0,0,0,0,,0
北区,幼保連携型認定こども園,幼保連携型認定こども園　五葉幼稚園,私立,100*,,×,○,○,○,○,,1,1,0,1,0,,3
北区,幼保連携型認定こども園,幼保連携型認定こども園　みどりこども園,私立,110*,×,×,×,×,×,○,6,5,2,2,1,1,,17
北区,幼保連携型認定こども園,幼保連携型認定こども園　鈴蘭台北町こども園,私立,90,×,×,×,×,×,×,0,2,0,1,0,0,,3
北区,幼稚園型認定こども園,認定こども園　鈴蘭台幼稚園,私立,70*,,,×,×,×,×,,,0,0,1,0,,1
北区,幼稚園型認定こども園,認定こども園　ひよどり台幼稚園,私立,10*,,,,○,○,×,,,,0,0,0,,0
北区,幼稚園型認定こども園,認定こども園　正英幼稚園,私立,50*,,,×,×,×,×,,,2,0,9,5,,16
北区,保育所,桜の宮保育所,公立,136,×,×,○,×,○,○,1,2,0,1,0,0,,4
北区,保育所,君影保育所,公立,69,○,○,○,○,○,○,0,0,0,0,0,0,,0
北区,保育所,鈴蘭台西町保育所,公立,54,,○,×,○,○,×,,0,1,0,0,0,,1
北区,保育所,ひよどり台保育所,公立,110,×,○,×,○,○,○,1,0,2,0,0,0,,3
北区,保育所,鈴蘭台南町保育所,公立,120,×,×,○,×,○,○,0,0,0,0,0,0,,0
北区,保育所,鈴蘭台保育園,私立,50,,×,○,○,○,○,,0,0,0,0,0,,0
北区,保育所,太陽の子保育園,私立,120,×,×,×,×,○,○,6,1,1,0,0,1,,9
北区,保育所,頌栄保育園,私立,90,×,×,×,○,○,○,0,0,1,0,0,0,,1
北区,保育所,谷上保育園　　※分園を含む,私立,110,○,×,×,×,×,×,8,3,2,2,1,0,,16
北区,保育所,すずらんキッズ保育園,私立,30,×,×,○,,,,3,5,0,,,,,8
北区,保育所,西鈴蘭台頌栄保育園,私立,120,×,×,○,×,○,○,1,1,1,0,0,0,,3
北区,保育所,山のまち保育園,私立,100,×,×,○,×,×,×,4,4,0,3,0,0,,11
北区,家庭的保育事業,村上　赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
北区,家庭的保育事業,赤ちゃんホームもものみ,私立,5,×,,,,,,0,,,,,,,0
北区,小規模保育事業,小規模保育園小倉台ひまわり,私立,19,×,×,×,,,,0,1,0,,,,,1
北区,小規模保育事業,小規模保育園　北鈴どんぐり園,私立,12,×,×,×,,,,1,1,0,,,,,2
北区,小規模保育事業,アートチャイルドケア神戸谷上,私立,19,×,×,×,,,,0,0,0,,,,,0
北区,事業所内保育事業,さくら保育園,私立,20（内地域枠5）,×,○,×,,,,0,0,0,,,,,0
北須磨,幼保連携型認定こども園,幼保連携型認定こども園　のぞみ保育園,私立,170*,×,×,×,×,×,×,7,10,6,0,3,1,,27
北須磨,幼保連携型認定こども園,幼保連携型認定こども園　若竹保育園,私立,120*,×,×,×,×,×,×,3,1,1,0,0,0,,5
北須磨,幼保連携型認定こども園,幼保連携型認定こども園　名谷みどりこども園,私立,120*,×,×,×,×,×,×,5,4,7,0,0,0,,16
北須磨,保育所,菅の台保育所,公立,133,×,○,×,○,×,×,1,0,1,0,0,0,,2
北須磨,保育所,竜が台保育所,公立,139,×,×,×,○,×,○,1,6,3,0,2,1,,13
北須磨,保育所,北須磨保育園,私立,110,×,×,×,×,×,×,0,2,2,1,4,3,,12
北須磨,保育所,あじさい保育園,私立,60,×,×,×,×,×,×,3,3,4,1,0,0,,11
北須磨,保育所,やまびこ保育園,私立,150,×,×,×,×,×,×,8,4,2,0,0,0,,14
北須磨,保育所,くすの木保育園,私立,180,×,×,×,×,×,×,4,4,4,0,3,0,,15
北須磨,保育所,北須磨第２保育園,私立,80,×,×,×,×,×,×,3,5,4,0,3,0,,15
北須磨,家庭的保育事業,堀切　赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
灘区,幼保連携型認定こども園,幼保連携型認定こども園　はっとこども園,私立,90*,×,×,×,×,×,×,2,4,2,0,1,0,,9
灘区,幼保連携型認定こども園,幼保連携型認定こども園　なかはらこども園,私立,140*,×,×,×,×,×,×,3,4,4,1,1,0,,13
灘区,幼保連携型認定こども園,認定こども園　六甲道COCORO,私立,60,×,×,×,×,×,×,0,2,1,0,0,0,,3
灘区,幼保連携型認定こども園,幼保連携型認定こども園　八幡幼稚園・八幡ピジョン保育園,私立,70*,×,×,×,×,×,×,3,3,2,2,0,0,,10
灘区,幼保連携型認定こども園,認定こども園　高羽COCORO,私立,90,×,×,×,×,×,○,3,3,4,2,1,0,,13
灘区,幼保連携型認定こども園,幼保連携型認定こども園　神戸さくら保育園,私立,70,×,×,×,×,×,×,2,1,0,0,0,0,,3
灘区,幼保連携型認定こども園,幼保連携型認定こども園　微笑幼稚園,私立,10*,,,,×,×,×,,,,0,2,0,,2
灘区,幼保連携型認定こども園,幼保連携型認定こども園　光愛児園　※分園含む　※１,私立,130*,×,×,×,×,×,×,3,3,6,2,0,0,,14
灘区,幼保連携型認定こども園,幼保連携型認定こども園　青谷愛児園,私立,90*,×,×,×,×,×,×,2,2,3,5,0,2,,14
灘区,幼保連携型認定こども園,幼保連携型認定こども園　おおいしこども園,私立,70*,×,×,×,×,○,○,2,0,5,1,0,0,,8
灘区,幼保連携型認定こども園,幼保連携型認定こども園　オリンピア都こども園,私立,90*,×,×,×,×,×,×,1,2,2,2,0,0,,7
灘区,幼保連携型認定こども園,幼保連携型　めばえの園認定こども園　※分園含む　※２,私立,102,×,×,×,×,×,×,7,8,7,2,1,0,,25
灘区,保育所,灘保育所,公立,110,○,×,×,×,○,○,2,1,0,0,0,0,,3
灘区,保育所,西灘保育所,公立,120,×,×,×,×,×,○,2,2,10,1,0,0,,15
灘区,保育所,石屋川保育所,公立,100,×,×,×,×,○,○,1,1,3,2,0,0,,7
灘区,保育所,倉石保育所,公立,90,×,×,×,×,○,○,0,2,7,1,0,0,,10
灘区,保育所,やはた桜保育所,公立,144,×,×,×,×,×,○,11,13,1,3,2,0,,30
灘区,保育所,やはた桜保育所鶴甲分室,公立,30,,×,×,○,○,×,,1,1,0,0,0,,2
灘区,保育所,誠佛保育園,私立,60,,×,×,×,×,×,,1,1,2,0,0,,4
灘区,保育所,同朋保育園,私立,70,×,×,×,×,×,○,3,1,0,0,1,0,,5
灘区,保育所,ゆりか保育園,私立,90,×,×,×,×,×,×,3,5,2,1,0,0,,11
灘区,保育所,六甲ゆりかご保育園,私立,60,×,×,×,×,×,×,0,1,0,2,0,0,,3
灘区,保育所,花音つばさ保育園,私立,80,×,×,×,×,○,×,3,2,7,0,0,0,,12
灘区,保育所,琵琶COCORO保育園,私立,60,×,×,×,×,○,×,1,1,0,0,1,0,,3
灘区,家庭的保育事業,赤ちゃんホーム　なだのみ,私立,5,○,,,,,,0,,,,,,,0
灘区,家庭的保育事業,赤ちゃんホーム　つぼみ,私立,3,○,,,,,,0,,,,,,,0
灘区,小規模保育事業,たんぽぽ,私立,12,,×,○,,,,,0,0,,,,,0
灘区,小規模保育事業,はらだ乳児園,私立,12,,×,×,,,,,0,0,,,,,0
灘区,小規模保育事業,コアラ愛児園,私立,19,×,○,○,,,,0,0,0,,,,,0
灘区,小規模保育事業,めばえすくすくルーム,私立,12,,×,×,,,,,0,0,,,,,0
灘区,小規模保育事業,小規模保育園　六甲道,私立,19,×,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,保育ルーム　ちいさなCOCORO,私立,14,×,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,京進のほいくえんHOPPA灘園,私立,19,×,×,×,,,,0,1,0,,,,,1
灘区,小規模保育事業,キッズパートナー王子公園,私立,19,×,×,○,,,,0,1,0,,,,,1
灘区,小規模保育事業,ポピンズ小規模保育園HAT神戸,私立,19,×,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,（仮称）神戸六甲キッズバルーン,私立,14,×,×,×,,,,0,0,0,,,,,0
灘区,小規模保育事業,（仮称）くじら保育園神戸六甲園,私立,19,○,○,×,,,,0,0,0,,,,,0
長田区,幼保連携型認定こども園,幼保連携型認定こども園　神戸保育園,私立,80*,×,×,×,×,×,×,6,4,4,1,0,1,,16
長田区,幼保連携型認定こども園,幼保連携型認定こども園　たから保育園,私立,110*,〇,〇,〇,〇,〇,〇,2,0,0,0,0,0,,2
長田区,幼保連携型認定こども園,幼保連携型認定こども園　神楽こども園,私立,80*,×,×,×,×,×,×,3,4,1,0,0,0,,8
長田区,幼保連携型認定こども園,神戸エンゼル認定こども園,私立,60*,〇,×,×,×,×,×,1,0,1,0,0,0,,2
長田区,幼稚園型認定こども園,認定こども園　近田幼稚園,私立,100*,×,×,×,〇,×,×,1,2,1,0,0,0,,4
長田区,幼稚園型認定こども園,認定こども園　名倉幼稚園　※,私立,40*,,×,〇,〇,〇,×,,0,0,0,0,1,,1
長田区,保育所,長田保育所,公立,54,,×,〇,×,〇,×,,2,0,1,0,0,,3
長田区,保育所,菅原保育所,公立,120,〇,×,〇,×,〇,〇,1,2,1,1,0,0,,5
長田区,保育所,本庄保育所,公立,90,〇,〇,〇,〇,〇,〇,0,0,0,0,0,0,,0
長田区,保育所,駒栄保育所,公立,139,×,×,〇,〇,〇,〇,1,0,1,0,0,0,,2
長田区,保育所,房王寺保育所,公立,142,〇,〇,〇,〇,〇,〇,0,2,0,0,1,0,,3
長田区,保育所,明泉寺保育所,公立,120,〇,〇,〇,〇,〇,〇,0,1,0,0,0,0,,1
長田区,保育所,長田東保育所,公立,54,,〇,〇,〇,〇,〇,,1,0,0,0,0,,1
長田区,保育所,浪松保育所,公立,120,,,,,,,,,,,,,
長田区,保育所,しりいけ保育所,公立,120,〇,〇,〇,〇,〇,〇,0,0,0,0,0,0,,0
長田区,保育所,ふたば保育所,公立,139,×,×,×,〇,×,〇,2,3,0,1,0,0,,6
長田区,保育所,新生保育園,私立,60,×,×,×,×,×,×,2,1,0,0,1,1,,5
長田区,保育所,神視保育園,私立,110,,,〇,〇,〇,〇,,,0,0,0,0,,0
長田区,保育所,天隣乳児保育園,私立,50,×,×,,,,,1,0,,,,,,1
長田区,保育所,けやき保育園,私立,60,〇,〇,〇,〇,〇,〇,1,0,0,0,0,0,,1
